"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=Qns2.ReadWrite2"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=Qns2.ReadWrite2#main:1"
"main", "6", "SYSTEM", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "SYSTEM", "New Object", " object=java.lang.String[]:1"
"main", "9", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, args=java.lang.String[]:1"
"main", "10", "SYSTEM", "Line Step", " <source unavailable>"
"main", "11", "SYSTEM", "Type Load", " class=Qns2.Database"
"main", "12", "SYSTEM", "New Object", " object=Qns2.Database:1"
"main", "13", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Database:1#Database:1"
"main", "14", "SYSTEM", "Method Entered", " "
"main", "15", "SYSTEM", "Line Step", " <source unavailable>"
"main", "16", "SYSTEM", "Line Step", " <source unavailable>"
"main", "17", "SYSTEM", "Field Write", " context=Qns2.Database:1, data=0"
"main", "18", "SYSTEM", "Line Step", " <source unavailable>"
"main", "19", "SYSTEM", "Field Write", " context=Qns2.Database:1, r=0"
"main", "20", "SYSTEM", "Line Step", " <source unavailable>"
"main", "21", "SYSTEM", "Field Write", " context=Qns2.Database:1, w=0"
"main", "22", "SYSTEM", "Line Step", " <source unavailable>"
"main", "23", "SYSTEM", "Field Write", " context=Qns2.Database:1, wr=0"
"main", "24", "SYSTEM", "Line Step", " <source unavailable>"
"main", "25", "SYSTEM", "Field Write", " context=Qns2.Database:1, ww=0"
"main", "26", "SYSTEM", "Line Step", " <source unavailable>"
"main", "27", "SYSTEM", "Method Exit", " returner=Qns2.Database:1#Database:1, value=<void>"
"main", "28", "SYSTEM", "Method Returned", " "
"main", "29", "SYSTEM", "Line Step", " <source unavailable>"
"main", "30", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, d=Qns2.Database:1"
"main", "31", "SYSTEM", "Line Step", " <source unavailable>"
"main", "32", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "33", "SYSTEM", "Type Load", " class=Qns2.Writer"
"main", "34", "SYSTEM", "New Object", " object=Qns2.Writer:1"
"main", "35", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:1#Qns2.Writer:1"
"main", "36", "SYSTEM", "Method Entered", " "
"main", "37", "SYSTEM", "Variable Write", " context=Qns2.Writer:1#Qns2.Writer:1, d=Qns2.Database:1"
"main", "38", "SYSTEM", "Variable Write", " context=Qns2.Writer:1#Qns2.Writer:1, x=1"
"main", "39", "SYSTEM", "Line Step", " <source unavailable>"
"main", "40", "SYSTEM", "Line Step", " <source unavailable>"
"main", "41", "SYSTEM", "Field Write", " context=Qns2.Writer:1, d=Qns2.Database:1"
"main", "42", "SYSTEM", "Line Step", " <source unavailable>"
"main", "43", "SYSTEM", "Field Write", " context=Qns2.Writer:1, x=1"
"main", "44", "SYSTEM", "Line Step", " <source unavailable>"
"main", "45", "SYSTEM", "Method Exit", " returner=Qns2.Writer:1#Qns2.Writer:1, value=<void>"
"main", "46", "SYSTEM", "Method Returned", " "
"main", "47", "SYSTEM", "Line Step", " <source unavailable>"
"main", "48", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w1=Qns2.Writer:1"
"main", "49", "SYSTEM", "Line Step", " <source unavailable>"
"main", "50", "SYSTEM", "New Object", " object=Qns2.Writer:2"
"main", "51", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:2#Qns2.Writer:2"
"main", "52", "SYSTEM", "Method Entered", " "
"main", "53", "SYSTEM", "Variable Write", " context=Qns2.Writer:2#Qns2.Writer:2, d=Qns2.Database:1"
"main", "54", "SYSTEM", "Variable Write", " context=Qns2.Writer:2#Qns2.Writer:2, x=10"
"main", "55", "SYSTEM", "Line Step", " <source unavailable>"
"main", "56", "SYSTEM", "Line Step", " <source unavailable>"
"main", "57", "SYSTEM", "Field Write", " context=Qns2.Writer:2, d=Qns2.Database:1"
"main", "58", "SYSTEM", "Line Step", " <source unavailable>"
"main", "59", "SYSTEM", "Field Write", " context=Qns2.Writer:2, x=10"
"main", "60", "SYSTEM", "Line Step", " <source unavailable>"
"main", "61", "SYSTEM", "Method Exit", " returner=Qns2.Writer:2#Qns2.Writer:2, value=<void>"
"main", "62", "SYSTEM", "Method Returned", " "
"main", "63", "SYSTEM", "Line Step", " <source unavailable>"
"main", "64", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w2=Qns2.Writer:2"
"main", "65", "SYSTEM", "Line Step", " <source unavailable>"
"main", "66", "SYSTEM", "New Object", " object=Qns2.Writer:3"
"main", "67", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:3#Qns2.Writer:3"
"main", "68", "SYSTEM", "Method Entered", " "
"main", "69", "SYSTEM", "Variable Write", " context=Qns2.Writer:3#Qns2.Writer:3, d=Qns2.Database:1"
"main", "70", "SYSTEM", "Variable Write", " context=Qns2.Writer:3#Qns2.Writer:3, x=100"
"main", "71", "SYSTEM", "Line Step", " <source unavailable>"
"main", "72", "SYSTEM", "Line Step", " <source unavailable>"
"main", "73", "SYSTEM", "Field Write", " context=Qns2.Writer:3, d=Qns2.Database:1"
"main", "74", "SYSTEM", "Line Step", " <source unavailable>"
"main", "75", "SYSTEM", "Field Write", " context=Qns2.Writer:3, x=100"
"main", "76", "SYSTEM", "Line Step", " <source unavailable>"
"main", "77", "SYSTEM", "Method Exit", " returner=Qns2.Writer:3#Qns2.Writer:3, value=<void>"
"main", "78", "SYSTEM", "Method Returned", " "
"main", "79", "SYSTEM", "Line Step", " <source unavailable>"
"main", "80", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w3=Qns2.Writer:3"
"main", "81", "SYSTEM", "Line Step", " <source unavailable>"
"main", "82", "SYSTEM", "New Object", " object=Qns2.Writer:4"
"main", "83", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:4#Qns2.Writer:4"
"main", "84", "SYSTEM", "Method Entered", " "
"main", "85", "SYSTEM", "Variable Write", " context=Qns2.Writer:4#Qns2.Writer:4, d=Qns2.Database:1"
"main", "86", "SYSTEM", "Variable Write", " context=Qns2.Writer:4#Qns2.Writer:4, x=1000"
"main", "87", "SYSTEM", "Line Step", " <source unavailable>"
"main", "88", "SYSTEM", "Line Step", " <source unavailable>"
"main", "89", "SYSTEM", "Field Write", " context=Qns2.Writer:4, d=Qns2.Database:1"
"main", "90", "SYSTEM", "Line Step", " <source unavailable>"
"main", "91", "SYSTEM", "Field Write", " context=Qns2.Writer:4, x=1000"
"main", "92", "SYSTEM", "Line Step", " <source unavailable>"
"main", "93", "SYSTEM", "Method Exit", " returner=Qns2.Writer:4#Qns2.Writer:4, value=<void>"
"main", "94", "SYSTEM", "Method Returned", " "
"main", "95", "SYSTEM", "Line Step", " <source unavailable>"
"main", "96", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w4=Qns2.Writer:4"
"main", "97", "SYSTEM", "Line Step", " <source unavailable>"
"main", "98", "SYSTEM", "New Object", " object=Qns2.Writer:5"
"main", "99", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:5#Qns2.Writer:5"
"main", "100", "SYSTEM", "Method Entered", " "
"main", "101", "SYSTEM", "Variable Write", " context=Qns2.Writer:5#Qns2.Writer:5, d=Qns2.Database:1"
"main", "102", "SYSTEM", "Variable Write", " context=Qns2.Writer:5#Qns2.Writer:5, x=10000"
"main", "103", "SYSTEM", "Line Step", " <source unavailable>"
"main", "104", "SYSTEM", "Line Step", " <source unavailable>"
"main", "105", "SYSTEM", "Field Write", " context=Qns2.Writer:5, d=Qns2.Database:1"
"main", "106", "SYSTEM", "Line Step", " <source unavailable>"
"main", "107", "SYSTEM", "Field Write", " context=Qns2.Writer:5, x=10000"
"main", "108", "SYSTEM", "Line Step", " <source unavailable>"
"main", "109", "SYSTEM", "Method Exit", " returner=Qns2.Writer:5#Qns2.Writer:5, value=<void>"
"main", "110", "SYSTEM", "Method Returned", " "
"main", "111", "SYSTEM", "Line Step", " <source unavailable>"
"main", "112", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w5=Qns2.Writer:5"
"main", "113", "SYSTEM", "Line Step", " <source unavailable>"
"main", "114", "SYSTEM", "Type Load", " class=Qns2.Reader"
"main", "115", "SYSTEM", "New Object", " object=Qns2.Reader:1"
"main", "116", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Reader:1#Qns2.Reader:1"
"main", "117", "SYSTEM", "Method Entered", " "
"main", "118", "SYSTEM", "Variable Write", " context=Qns2.Reader:1#Qns2.Reader:1, d=Qns2.Database:1"
"main", "119", "SYSTEM", "Line Step", " <source unavailable>"
"main", "120", "SYSTEM", "Line Step", " <source unavailable>"
